seed,trial_id,sinkage_init,friction,escape_dir_x,escape_dir_y,escaped,time_to_escape,final_proj,entrapped_steps,failure_mode,terminal_x,terminal_y,terminal_z
0,0,0.23280501935178907,0.16744667844096756,0.9670438766479492,0.2546098530292511,True,87,3.0316920280456543,0,ESCAPED,1.136187820909122,-0.004474079631351377,-0.031678450876178814
0,1,0.15214859261870878,0.3033175598000681,0.8534781336784363,-0.5211287140846252,True,81,3.010223388671875,0,ESCAPED,1.4636047539812265,-0.10383677565356993,0.010099853536389338
0,2,0.2288626508497334,0.2823741402459996,-0.9626681208610535,-0.2706843912601471,False,-1,-21.586671829223633,0,lateral_OOB,19.930666929929153,1.7537613234582883,-0.22175057799227438
0,3,0.2715594150924099,0.303963388530383,0.9998519420623779,0.017205655574798584,True,72,3.034111499786377,0,ESCAPED,1.0352754254859207,-0.041524758339059484,-0.020208187667874633
0,4,0.261462555956384,0.1083963938263661,-0.12748076021671295,-0.9918410181999207,False,-1,-2.6772561073303223,0,no_progress,18.714857115254784,0.03681092846226016,-0.014739765974018517
0,5,0.17283523067833267,0.31579473058747165,-0.9662591218948364,-0.2575719654560089,False,-1,-21.231822967529297,0,lateral_OOB,18.900298514036553,4.024968263819996,-0.21979283171043548
0,6,0.18896254576986002,0.2056718052994146,0.9842107892036438,0.1770002543926239,True,78,3.05751371383667,0,ESCAPED,1.1056946886583179,0.004833168605558815,-0.024622324622316692
0,7,0.1661568259449433,0.26765610367340753,-0.60197913646698,-0.798511803150177,False,-1,-13.702912330627441,0,no_progress,20.176823246608024,0.4419822270355337,-0.015549210727599051
0,8,0.23000006449256302,0.19591938856547086,0.999846339225769,-0.017529591917991638,True,80,3.022496223449707,0,ESCAPED,1.0233317260473807,0.021146516943036448,-0.03481382852553514
0,9,0.27750859404090994,0.27138549612017365,-0.5854482054710388,-0.8107098340988159,False,-1,-12.280830383300781,0,no_progress,19.904742932994655,-0.6701067811011004,-0.012397225327543827
0,10,0.2394980749742222,0.19723035599477595,0.6608569025993347,0.7505119442939758,True,104,3.020293712615967,0,ESCAPED,2.5806622737456633,-0.009151847307692633,-0.003124491897834097
0,11,0.24379348422523064,0.23133858061893145,-0.3695371448993683,0.9292159676551819,False,-1,-8.25481128692627,0,no_progress,19.671816313077244,-0.2650298471168726,-0.01691129199221446
0,12,0.21315859664813258,0.32237195858725004,0.9153512716293335,-0.4026561677455902,True,80,3.0100293159484863,0,ESCAPED,1.3050714110230008,0.03792772394077527,-0.013551614068905869
0,13,0.19651337557217913,0.2428824576824402,-0.43637752532958984,0.8997636437416077,False,-1,-10.092096328735352,0,no_progress,20.28352698453064,-0.40906931984080175,-0.4694726903248316
0,14,0.2272590039259606,0.1844778063767833,-0.7769574522972107,0.6295531392097473,False,-1,-17.422819137573242,0,no_progress,19.883854802014756,-0.6671345889595438,-0.012430836905937001
0,15,0.265735665760623,0.15678939838334494,-0.7151150107383728,-0.6990067958831787,False,-1,-15.56479549407959,0,no_progress,19.460857677990568,0.31160620807658646,-0.010263439208159187
0,16,0.16092199466571003,0.3081610369133494,0.2309904545545578,-0.9729560017585754,True,220,3.0021722316741943,0,ESCAPED,9.655996902140465,-0.31835786489356094,-0.02438135072484721
0,17,0.1811180275890838,0.31912105770267596,0.9330509305000305,0.35974428057670593,True,77,3.037337303161621,0,ESCAPED,1.2488540941817,0.016653547061755862,0.022572857710011843
0,18,0.19369521787093585,0.13756986672370977,-0.9517132639884949,0.30698835849761963,False,-1,-20.26604652404785,0,no_progress,19.329103278705,0.10796754523998071,-0.013210957754464752
0,19,0.25352215513734827,0.15766055224843686,0.9470553398132324,0.3210703730583191,True,91,3.017075538635254,0,ESCAPED,1.1908246015753403,-0.014986341630155683,-0.011185967069386366
0,20,0.20259173917679868,0.14962826112731384,0.8417832255363464,0.5398157238960266,True,97,3.0352516174316406,0,ESCAPED,1.5992337192494117,0.01014645263328474,-0.015240702939932462
0,21,0.2254432101782906,0.17467403320473063,-0.47073233127593994,-0.8822760581970215,False,-1,-8.86230754852295,0,no_progress,18.31290210959077,-0.7929865263496527,-0.4148778259116864
0,22,0.17593700771586773,0.3355282776266244,-0.6618309617042542,0.7496531009674072,False,-1,-6.964382171630859,0,lateral_OOB,17.0361016731728,7.51587515169854,-0.22361468769683127
0,23,0.16371438634412983,0.2572770378849273,0.897070586681366,-0.4418873190879822,True,85,3.0095884799957275,0,ESCAPED,1.3874234213077539,0.06601128835000086,-0.0229483583955639
0,24,0.20724903011305193,0.3386476234226843,-0.9999997615814209,0.0006546218646690249,False,-1,-21.43260383605957,0,lateral_OOB,19.43399455246399,2.11649775863947,-0.22090579579122113
